,county,state,Land Area (mi^2)
862,Linn,Iowa,716.88
863,Louisa,Iowa,401.77
864,Lucas,Iowa,430.59
865,Lyon,Iowa,587.65
866,Madison,Iowa,561.01
867,Mahaska,Iowa,570.86
868,Marion,Iowa,554.53
869,Marshall,Iowa,572.5
870,Mills,Iowa,437.44
871,Mitchell,Iowa,469.13
872,Monona,Iowa,694.07
873,Monroe,Iowa,433.72
874,Montgomery,Iowa,424.1
875,Muscatine,Iowa,437.47
876,O'Brien,Iowa,573.04
877,Osceola,Iowa,398.68
878,Page,Iowa,534.94
879,Palo Alto,Iowa,563.84
880,Plymouth,Iowa,862.89
881,Pocahontas,Iowa,577.24
882,Polk,Iowa,573.8
883,Pottawattamie,Iowa,950.28
884,Poweshiek,Iowa,584.93
885,Ringgold,Iowa,535.5
886,Sac,Iowa,575.01
887,Scott,Iowa,458.09
888,Shelby,Iowa,590.78
889,Sioux,Iowa,768.33
890,Story,Iowa,572.82
891,Tama,Iowa,721.01
892,Taylor,Iowa,531.9
893,Union,Iowa,423.65
894,Van Buren,Iowa,484.79
895,Wapello,Iowa,431.83
896,Warren,Iowa,569.83
897,Washington,Iowa,568.84
898,Wayne,Iowa,525.44
899,Webster,Iowa,715.62
900,Winnebago,Iowa,400.49
901,Winneshiek,Iowa,689.87
902,Woodbury,Iowa,872.83
903,Worth,Iowa,400.12
904,Wright,Iowa,580.42
905,KANSAS,,81758.72
906,Allen,Kansas,500.3
907,Anderson,Kansas,579.65
908,Atchison,Kansas,431.17
909,Barber,Kansas,1134.07
910,Barton,Kansas,895.4
911,Bourbon,Kansas,635.47
912,Brown,Kansas,570.87
913,Butler,Kansas,1429.86
914,Chase,Kansas,773.06
915,Chautauqua,Kansas,638.88
916,Cherokee,Kansas,587.57
917,Cheyenne,Kansas,1019.89
918,Clark,Kansas,974.63
919,Clay,Kansas,645.3
920,Cloud,Kansas,715.34
921,Coffey,Kansas,626.95
922,Comanche,Kansas,788.3
923,Cowley,Kansas,1125.75
924,Crawford,Kansas,589.76
925,Decatur,Kansas,893.52
926,Dickinson,Kansas,847.07
927,Doniphan,Kansas,393.41
928,Douglas,Kansas,455.87
929,Edwards,Kansas,621.89
930,Elk,Kansas,644.27
931,Ellis,Kansas,899.91
932,Ellsworth,Kansas,715.85
933,Finney,Kansas,1301.97
934,Ford,Kansas,1098.27
935,Franklin,Kansas,571.76
936,Geary,Kansas,384.62
937,Gove,Kansas,1071.67
938,Graham,Kansas,898.52
939,Grant,Kansas,574.8
940,Gray,Kansas,868.87
941,Greeley,Kansas,778.45
942,Greenwood,Kansas,1143.3
943,Hamilton,Kansas,996.51
944,Harper,Kansas,801.27
945,Harvey,Kansas,539.75
946,Haskell,Kansas,577.52
947,Hodgeman,Kansas,859.99
948,Jackson,Kansas,656.22
949,Jefferson,Kansas,532.57
950,Jewell,Kansas,909.78
951,Johnson,Kansas,473.38
952,Kearny,Kansas,870.54
953,Kingman,Kansas,863.36
954,Kiowa,Kansas,722.64
955,Labette,Kansas,645.3
956,Lane,Kansas,717.46
957,Leavenworth,Kansas,462.83
958,Lincoln,Kansas,719.4
959,Linn,Kansas,594.06
960,Logan,Kansas,1072.99
961,Lyon,Kansas,847.47
962,McPherson,Kansas,898.27
963,Marion,Kansas,944.29
964,Marshall,Kansas,900.18
965,Meade,Kansas,978.09
966,Miami,Kansas,575.66
967,Mitchell,Kansas,701.79
968,Montgomery,Kansas,643.53
969,Morris,Kansas,695.28
970,Morton,Kansas,729.73
971,Nemaha,Kansas,717.43
972,Neosho,Kansas,571.47
973,Ness,Kansas,1074.75
974,Norton,Kansas,878.13
975,Osage,Kansas,705.52
976,Osborne,Kansas,892.5
977,Ottawa,Kansas,720.73
978,Pawnee,Kansas,754.26
979,Phillips,Kansas,885.88
980,Pottawatomie,Kansas,841.02
981,Pratt,Kansas,735.05
982,Rawlins,Kansas,1069.42
983,Reno,Kansas,1255.35
984,Republic,Kansas,717.37
985,Rice,Kansas,726.24
986,Riley,Kansas,609.77
987,Rooks,Kansas,890.53
988,Rush,Kansas,717.76
989,Russell,Kansas,886.26
990,Saline,Kansas,720.23
991,Scott,Kansas,717.54
992,Sedgwick,Kansas,997.51
993,Seward,Kansas,639.5
994,Shawnee,Kansas,544.02
995,Sheridan,Kansas,895.96
996,Sherman,Kansas,1056.07
997,Smith,Kansas,895.47
998,Stafford,Kansas,792.05
999,Stanton,Kansas,680.35
1000,Stevens,Kansas,727.29
1001,Sumner,Kansas,1181.94
1002,Thomas,Kansas,1074.69
1003,Trego,Kansas,889.48
1004,Wabaunsee,Kansas,794.3
1005,Wallace,Kansas,913.65
1006,Washington,Kansas,894.76
1007,Wichita,Kansas,718.57
1008,Wilson,Kansas,570.42
1009,Woodson,Kansas,497.82
1010,Wyandotte,Kansas,151.6
1011,KENTUCKY,,39486.34
1012,Adair,Kentucky,405.28
1013,Allen,Kentucky,344.34
1014,Anderson,Kentucky,201.83
1015,Ballard,Kentucky,246.66
1016,Barren,Kentucky,487.54
1017,Bath,Kentucky,278.79
1018,Bell,Kentucky,359.0
1019,Boone,Kentucky,246.36
1020,Bourbon,Kentucky,289.72
1021,Boyd,Kentucky,159.86
1022,Boyle,Kentucky,180.17
1023,Bracken,Kentucky,205.61
1024,Breathitt,Kentucky,492.41
1025,Breckinridge,Kentucky,567.17
1026,Bullitt,Kentucky,297.02
1027,Butler,Kentucky,426.09
1028,Caldwell,Kentucky,344.79
1029,Calloway,Kentucky,385.02
1030,Campbell,Kentucky,151.31
1031,Carlisle,Kentucky,189.43
1032,Carroll,Kentucky,128.57
1033,Carter,Kentucky,409.5
1034,Casey,Kentucky,444.23
1035,Christian,Kentucky,717.5
1036,Clark,Kentucky,252.46
1037,Clay,Kentucky,469.25
1038,Clinton,Kentucky,197.25
1039,Crittenden,Kentucky,359.95
1040,Cumberland,Kentucky,305.18
1041,Daviess,Kentucky,458.35
1042,Edmonson,Kentucky,302.88
1043,Elliott,Kentucky,234.32
1044,Estill,Kentucky,253.08
1045,Fayette,Kentucky,283.65
1046,Fleming,Kentucky,348.54
1047,Floyd,Kentucky,393.35
1048,Franklin,Kentucky,207.75
1049,Fulton,Kentucky,205.5
1050,Gallatin,Kentucky,101.23
1051,Garrard,Kentucky,230.08
1052,Grant,Kentucky,257.97
1053,Graves,Kentucky,551.74
1054,Grayson,Kentucky,496.7
1055,Green,Kentucky,286.03
1056,Greenup,Kentucky,344.4
1057,Hancock,Kentucky,187.65
1058,Hardin,Kentucky,623.28
1059,Harlan,Kentucky,465.83
1060,Harrison,Kentucky,306.36
1061,Hart,Kentucky,412.09
1062,Henderson,Kentucky,436.67
1063,Henry,Kentucky,286.28
1064,Hickman,Kentucky,242.27
1065,Hopkins,Kentucky,542.0
1066,Jackson,Kentucky,345.2
1067,Jefferson,Kentucky,380.42
1068,Jessamine,Kentucky,172.12
1069,Johnson,Kentucky,261.95
1070,Kenton,Kentucky,160.25
1071,Knott,Kentucky,351.52
1072,Knox,Kentucky,386.3
1073,Larue,Kentucky,261.52
1074,Laurel,Kentucky,433.95
1075,Lawrence,Kentucky,415.6
1076,Lee,Kentucky,208.86
1077,Leslie,Kentucky,400.84
1078,Letcher,Kentucky,337.91
1079,Lewis,Kentucky,482.84
1080,Lincoln,Kentucky,334.1
1081,Livingston,Kentucky,313.13
1082,Logan,Kentucky,552.13
1083,Lyon,Kentucky,213.84
1084,McCracken,Kentucky,248.74
1085,McCreary,Kentucky,426.8
1086,McLean,Kentucky,252.47
1087,Madison,Kentucky,437.29
1088,Magoffin,Kentucky,308.44
1089,Marion,Kentucky,343.01
1090,Marshall,Kentucky,301.25
1091,Martin,Kentucky,229.61
1092,Mason,Kentucky,240.13
1093,Meade,Kentucky,305.42
1094,Menifee,Kentucky,203.59
1095,Mercer,Kentucky,248.8
1096,Metcalfe,Kentucky,289.65
1097,Monroe,Kentucky,329.37
1098,Montgomery,Kentucky,197.37
1099,Morgan,Kentucky,381.13
1100,Muhlenberg,Kentucky,467.08
1101,Nelson,Kentucky,417.51
1102,Nicholas,Kentucky,195.17
1103,Ohio,Kentucky,587.27
1104,Oldham,Kentucky,187.22
1105,Owen,Kentucky,351.1
1106,Owsley,Kentucky,197.41
1107,Pendleton,Kentucky,277.16
1108,Perry,Kentucky,339.67
1109,Pike,Kentucky,786.83
1110,Powell,Kentucky,178.98
1111,Pulaski,Kentucky,658.41
1112,Robertson,Kentucky,99.91
1113,Rockcastle,Kentucky,316.55
1114,Rowan,Kentucky,279.8
1115,Russell,Kentucky,253.66
1116,Scott,Kentucky,281.77
1117,Shelby,Kentucky,379.64
1118,Simpson,Kentucky,234.2
1119,Spencer,Kentucky,186.68
1120,Taylor,Kentucky,266.33
1121,Todd,Kentucky,374.5
1122,Trigg,Kentucky,441.43
1123,Trimble,Kentucky,151.65
1124,Union,Kentucky,342.85
1125,Warren,Kentucky,541.6
1126,Washington,Kentucky,297.27
1127,Wayne,Kentucky,458.17
1128,Webster,Kentucky,331.94
1129,Whitley,Kentucky,437.83
1130,Wolfe,Kentucky,222.17
1131,Woodford,Kentucky,188.78
1132,LOUISIANA,,43203.9
1133,Acadia,Louisiana,655.12
1134,Allen,Louisiana,761.85
1135,Ascension,Louisiana,289.98
1136,Assumption,Louisiana,338.66
1137,Avoyelles,Louisiana,832.43
1138,Beauregard,Louisiana,1157.34
1139,Bienville,Louisiana,811.27
1140,Bossier,Louisiana,840.06
1141,Caddo,Louisiana,878.54
1142,Calcasieu,Louisiana,1063.66
1143,Caldwell,Louisiana,529.43
1144,Cameron,Louisiana,1284.89
1145,Catahoula,Louisiana,708.03
1146,Claiborne,Louisiana,754.88
1147,Concordia,Louisiana,696.92
1148,De Soto,Louisiana,875.58
1149,East Baton Rouge,Louisiana,455.37
1150,East Carroll,Louisiana,420.7
1151,East Feliciana,Louisiana,453.41
1152,Evangeline,Louisiana,662.38
1153,Franklin,Louisiana,624.59
1154,Grant,Louisiana,643.03
1155,Iberia,Louisiana,574.11
1156,Iberville,Louisiana,618.63
1157,Jackson,Louisiana,569.18
1158,Jefferson,Louisiana,295.63
1159,Jefferson Davis,Louisiana,651.33
1160,Lafayette,Louisiana,268.72
1161,Lafourche,Louisiana,1068.21
1162,La Salle,Louisiana,624.68
1163,Lincoln,Louisiana,471.74
1164,Livingston,Louisiana,648.17
1165,Madison,Louisiana,624.44
1166,Morehouse,Louisiana,794.93
1167,Natchitoches,Louisiana,1252.25
1168,Orleans,Louisiana,169.42
1169,Ouachita,Louisiana,610.41
1170,Plaquemines,Louisiana,779.91
1171,Pointe Coupee,Louisiana,557.35
1172,Rapides,Louisiana,1317.96
1173,Red River,Louisiana,389.09
1174,Richland,Louisiana,559.04
1175,Sabine,Louisiana,866.66
1176,St. Bernard,Louisiana,377.52
1177,St. Charles,Louisiana,279.08
1178,St. Helena,Louisiana,408.4
1179,St. James,Louisiana,241.54
1180,St. John the Baptist,Louisiana,213.07
1181,St. Landry,Louisiana,923.88
1182,St. Martin,Louisiana,737.65
1183,St. Mary,Louisiana,555.38
1184,St. Tammany,Louisiana,845.55
1185,Tangipahoa,Louisiana,791.28
1186,Tensas,Louisiana,602.78
1187,Terrebonne,Louisiana,1231.82
1188,Union,Louisiana,876.99
1189,Vermilion,Louisiana,1173.2
1190,Vernon,Louisiana,1327.91
1191,Washington,Louisiana,669.53
1192,Webster,Louisiana,593.03
1193,West Baton Rouge,Louisiana,192.39
1194,West Carroll,Louisiana,359.65
1195,West Feliciana,Louisiana,403.21
1196,Winn,Louisiana,950.09
1197,MAINE,,30842.92
1198,Androscoggin,Maine,467.93
1199,Aroostook,Maine,6671.33
1200,Cumberland,Maine,835.24
1201,Franklin,Maine,1696.61
1202,Hancock,Maine,1586.89
1203,Kennebec,Maine,867.52
1204,Knox,Maine,365.13
1205,Lincoln,Maine,455.82
1206,Oxford,Maine,2076.84
1207,Penobscot,Maine,3397.36
1208,Piscataquis,Maine,3960.86
1209,Sagadahoc,Maine,253.7
1210,Somerset,Maine,3924.4
1211,Waldo,Maine,729.92
1212,Washington,Maine,2562.66
1213,York,Maine,990.71
1214,MARYLAND,,9707.24
1215,Allegany,Maryland,424.16
1216,Anne Arundel,Maryland,414.9
1217,Baltimore,Maryland,598.3
1218,Calvert,Maryland,213.15
1219,Caroline,Maryland,319.42
1220,Carroll,Maryland,447.6
1221,Cecil,Maryland,346.27
1222,Charles,Maryland,457.75
1223,Dorchester,Maryland,540.77
1224,Frederick,Maryland,660.22
1225,Garrett,Maryland,647.1
1226,Harford,Maryland,437.09
1227,Howard,Maryland,250.74
1228,Kent,Maryland,277.03
1229,Montgomery,Maryland,491.25
1230,Prince George's,Maryland,482.69
1231,Queen Anne's,Maryland,371.91
1232,St. Mary's,Maryland,357.18
1233,Somerset,Maryland,319.72
1234,Talbot,Maryland,268.54
1235,Washington,Maryland,457.78
1236,Wicomico,Maryland,374.44
1237,Worcester,Maryland,468.28
1238,Baltimore city,Maryland,80.94
1239,MASSACHUSETTS,,7800.06
1240,Barnstable,Massachusetts,393.72
1241,Berkshire,Massachusetts,926.83
1242,Bristol,Massachusetts,553.1
1243,Dukes,Massachusetts,103.25
1244,Essex,Massachusetts,492.56
1245,Franklin,Massachusetts,699.32
1246,Hampden,Massachusetts,617.14
1247,Hampshire,Massachusetts,527.26
1248,Middlesex,Massachusetts,817.82
1249,Nantucket,Massachusetts,44.97
1250,Norfolk,Massachusetts,396.11
1251,Plymouth,Massachusetts,659.08
1252,Suffolk,Massachusetts,58.15
1253,Worcester,Massachusetts,1510.77
1254,MICHIGAN,,56538.9
1255,Alcona,Michigan,674.59
1256,Alger,Michigan,915.07
1257,Allegan,Michigan,825.23
1258,Alpena,Michigan,571.86
1259,Antrim,Michigan,475.7
1260,Arenac,Michigan,363.19
1261,Baraga,Michigan,898.26
1262,Barry,Michigan,553.09
1263,Bay,Michigan,442.3
1264,Benzie,Michigan,319.7
1265,Berrien,Michigan,567.75
1266,Branch,Michigan,506.37
1267,Calhoun,Michigan,706.23
1268,Cass,Michigan,490.06
1269,Charlevoix,Michigan,416.34
1270,Cheboygan,Michigan,715.26
1271,Chippewa,Michigan,1558.42
1272,Clare,Michigan,564.32
1273,Clinton,Michigan,566.41
1274,Crawford,Michigan,556.28
1275,Delta,Michigan,1171.1
1276,Dickinson,Michigan,761.4
1277,Eaton,Michigan,575.18
1278,Emmet,Michigan,467.49
1279,Genesee,Michigan,636.98
1280,Gladwin,Michigan,501.78
1281,Gogebic,Michigan,1101.85
1282,Grand Traverse,Michigan,464.33
1283,Gratiot,Michigan,568.46
1284,Hillsdale,Michigan,598.13
1285,Houghton,Michigan,1009.1
1286,Huron,Michigan,835.71
1287,Ingham,Michigan,556.12
1288,Ionia,Michigan,571.3
1289,Iosco,Michigan,549.1
1290,Iron,Michigan,1166.15
1291,Isabella,Michigan,572.68
1292,Jackson,Michigan,701.67
1293,Kalamazoo,Michigan,561.66
1294,Kalkaska,Michigan,559.87
1295,Kent,Michigan,846.95
1296,Keweenaw,Michigan,540.11
1297,Lake,Michigan,567.37
1298,Lapeer,Michigan,643.01
1299,Leelanau,Michigan,347.17
1300,Lenawee,Michigan,749.56
1301,Livingston,Michigan,565.25
1302,Luce,Michigan,899.08
1303,Mackinac,Michigan,1021.57
1304,Macomb,Michigan,479.22
1305,Manistee,Michigan,542.15
1306,Marquette,Michigan,1808.4
1307,Mason,Michigan,495.07
1308,Mecosta,Michigan,555.07
1309,Menominee,Michigan,1044.08
1310,Midland,Michigan,516.25
1311,Missaukee,Michigan,564.73
1312,Monroe,Michigan,549.39
1313,Montcalm,Michigan,705.4
1314,Montmorency,Michigan,546.66
1315,Muskegon,Michigan,499.25
1316,Newaygo,Michigan,813.2
1317,Oakland,Michigan,867.66
1318,Oceana,Michigan,512.07
1319,Ogemaw,Michigan,563.49
1320,Ontonagon,Michigan,1311.23
1321,Osceola,Michigan,566.39
1322,Oscoda,Michigan,565.73
1323,Otsego,Michigan,514.97
1324,Ottawa,Michigan,563.47
1325,Presque Isle,Michigan,658.72
1326,Roscommon,Michigan,519.64
1327,Saginaw,Michigan,800.11
1328,St. Clair,Michigan,721.17
1329,St. Joseph,Michigan,500.59
1330,Sanilac,Michigan,962.57
1331,Schoolcraft,Michigan,1171.36
1332,Shiawassee,Michigan,530.67
1333,Tuscola,Michigan,803.13
1334,Van Buren,Michigan,607.47
1335,Washtenaw,Michigan,705.97
1336,Wayne,Michigan,612.08
1337,Wexford,Michigan,565.0
1338,MINNESOTA,,79626.74
1339,Aitkin,Minnesota,1821.66
1340,Anoka,Minnesota,423.01
1341,Becker,Minnesota,1315.2
1342,Beltrami,Minnesota,2504.94
1343,Benton,Minnesota,408.3
1344,Big Stone,Minnesota,499.02
1345,Blue Earth,Minnesota,747.84
1346,Brown,Minnesota,611.09
1347,Carlton,Minnesota,861.38
1348,Carver,Minnesota,354.33
1349,Cass,Minnesota,2021.54
1350,Chippewa,Minnesota,581.12
1351,Chisago,Minnesota,414.86
1352,Clay,Minnesota,1045.37
1353,Clearwater,Minnesota,998.94
1354,Cook,Minnesota,1452.28
1355,Cottonwood,Minnesota,638.61
1356,Crow Wing,Minnesota,999.1
1357,Dakota,Minnesota,562.17
1358,Dodge,Minnesota,439.28
1359,Douglas,Minnesota,637.3
1360,Faribault,Minnesota,712.48
1361,Fillmore,Minnesota,861.3
1362,Freeborn,Minnesota,707.09
1363,Goodhue,Minnesota,756.84
1364,Grant,Minnesota,548.16
1365,Hennepin,Minnesota,553.59
1366,Houston,Minnesota,552.06
1367,Hubbard,Minnesota,925.68
1368,Isanti,Minnesota,435.79
1369,Itasca,Minnesota,2667.72
1370,Jackson,Minnesota,702.98
1371,Kanabec,Minnesota,521.59
1372,Kandiyohi,Minnesota,796.79
1373,Kittson,Minnesota,1098.8
1374,Koochiching,Minnesota,3104.07
1375,Lac qui Parle,Minnesota,765.02
1376,Lake,Minnesota,2109.29
1377,Lake of the Woods,Minnesota,1297.87
1378,Le Sueur,Minnesota,448.76
1379,Lincoln,Minnesota,536.76
1380,Lyon,Minnesota,714.56
1381,McLeod,Minnesota,491.47
1382,Mahnomen,Minnesota,557.88
1383,Marshall,Minnesota,1775.07
1384,Martin,Minnesota,712.35
1385,Meeker,Minnesota,608.18
1386,Mille Lacs,Minnesota,572.31
1387,Morrison,Minnesota,1125.06
1388,Mower,Minnesota,711.33
1389,Murray,Minnesota,704.7
1390,Nicollet,Minnesota,448.49
1391,Nobles,Minnesota,715.11
1392,Norman,Minnesota,872.79
1393,Olmsted,Minnesota,653.35
1394,Otter Tail,Minnesota,1972.07
1395,Pennington,Minnesota,616.57
1396,Pine,Minnesota,1411.29
1397,Pipestone,Minnesota,465.06
1398,Polk,Minnesota,1971.13
1399,Pope,Minnesota,669.71
1400,Ramsey,Minnesota,152.21
1401,Red Lake,Minnesota,432.41
1402,Redwood,Minnesota,878.57
1403,Renville,Minnesota,982.91
1404,Rice,Minnesota,495.68
1405,Rock,Minnesota,482.46
1406,Roseau,Minnesota,1671.6
1407,St. Louis,Minnesota,6247.4
1408,Scott,Minnesota,356.48
1409,Sherburne,Minnesota,432.92
1410,Sibley,Minnesota,588.78
1411,Stearns,Minnesota,1343.13
1412,Steele,Minnesota,429.65
1413,Stevens,Minnesota,563.6
1414,Swift,Minnesota,742.08
1415,Todd,Minnesota,944.98
1416,Traverse,Minnesota,573.9
1417,Wabasha,Minnesota,522.98
1418,Wadena,Minnesota,536.27
1419,Waseca,Minnesota,423.36
1420,Washington,Minnesota,384.28
1421,Watonwan,Minnesota,434.95
1422,Wilkin,Minnesota,750.96
1423,Winona,Minnesota,626.21
1424,Wright,Minnesota,661.46
1425,Yellow Medicine,Minnesota,759.1
1426,MISSISSIPPI,,46923.27
1427,Adams,Mississippi,462.41
1428,Alcorn,Mississippi,400.04
1429,Amite,Mississippi,730.1
1430,Attala,Mississippi,734.98
1431,Benton,Mississippi,406.62
1432,Bolivar,Mississippi,876.57
1433,Calhoun,Mississippi,586.57
1434,Carroll,Mississippi,628.24
1435,Chickasaw,Mississippi,501.78
1436,Choctaw,Mississippi,418.18
1437,Claiborne,Mississippi,487.41
1438,Clarke,Mississippi,691.55
1439,Clay,Mississippi,410.08
1440,Coahoma,Mississippi,552.44
1441,Copiah,Mississippi,777.24
1442,Covington,Mississippi,413.79
1443,DeSoto,Mississippi,476.15
1444,Forrest,Mississippi,466.31
1445,Franklin,Mississippi,563.78
1446,George,Mississippi,478.71
1447,Greene,Mississippi,712.76
1448,Grenada,Mississippi,422.11
1449,Hancock,Mississippi,473.75
1450,Harrison,Mississippi,573.99
1451,Hinds,Mississippi,869.74
1452,Holmes,Mississippi,756.7
1453,Humphreys,Mississippi,418.49
1454,Issaquena,Mississippi,413.05
1455,Itawamba,Mississippi,532.79
1456,Jackson,Mississippi,722.75
1457,Jasper,Mississippi,676.24
1458,Jefferson,Mississippi,519.93
1459,Jefferson Davis,Mississippi,408.44
1460,Jones,Mississippi,694.8
1461,Kemper,Mississippi,766.18
1462,Lafayette,Mississippi,631.71
1463,Lamar,Mississippi,497.06
1464,Lauderdale,Mississippi,703.63
1465,Lawrence,Mississippi,430.67
1466,Leake,Mississippi,583.0
1467,Lee,Mississippi,449.95
1468,Leflore,Mississippi,592.54
1469,Lincoln,Mississippi,586.12
1470,Lowndes,Mississippi,505.51
1471,Madison,Mississippi,714.51
1472,Marion,Mississippi,542.38
1473,Marshall,Mississippi,706.19
1474,Monroe,Mississippi,765.09
1475,Montgomery,Mississippi,406.98
1476,Neshoba,Mississippi,570.14
1477,Newton,Mississippi,578.1
1478,Noxubee,Mississippi,695.14
1479,Oktibbeha,Mississippi,458.2
1480,Panola,Mississippi,685.14
1481,Pearl River,Mississippi,810.86
1482,Perry,Mississippi,647.25
1483,Pike,Mississippi,409.02
1484,Pontotoc,Mississippi,497.69
1485,Prentiss,Mississippi,414.98
1486,Quitman,Mississippi,405.01
1487,Rankin,Mississippi,775.49
1488,Scott,Mississippi,609.19
1489,Sharkey,Mississippi,431.72
1490,Simpson,Mississippi,589.16
1491,Smith,Mississippi,636.25
1492,Stone,Mississippi,445.49
1493,Sunflower,Mississippi,697.75
1494,Tallahatchie,Mississippi,645.29
1495,Tate,Mississippi,404.76
1496,Tippah,Mississippi,457.82
1497,Tishomingo,Mississippi,424.25
1498,Tunica,Mississippi,454.67
1499,Union,Mississippi,415.6
1500,Walthall,Mississippi,403.94
1501,Warren,Mississippi,588.5
1502,Washington,Mississippi,724.74
1503,Wayne,Mississippi,810.75
1504,Webster,Mississippi,420.94
1505,Wilkinson,Mississippi,678.11
1506,Winston,Mississippi,607.25
1507,Yalobusha,Mississippi,467.13
1508,Yazoo,Mississippi,922.95
1509,MISSOURI,,68741.52
1510,Adair,Missouri,567.32
1511,Andrew,Missouri,432.7
1512,Atchison,Missouri,547.3
1513,Audrain,Missouri,692.24
1514,Barry,Missouri,778.25
1515,Barton,Missouri,591.92
1516,Bates,Missouri,836.69
1517,Benton,Missouri,704.06
1518,Bollinger,Missouri,617.91
1519,Boone,Missouri,685.41
1520,Buchanan,Missouri,408.03
1521,Butler,Missouri,694.67
1522,Caldwell,Missouri,426.39
1523,Callaway,Missouri,834.58
1524,Camden,Missouri,655.92
1525,Cape Girardeau,Missouri,578.54
1526,Carroll,Missouri,694.62
1527,Carter,Missouri,507.36
1528,Cass,Missouri,696.84
1529,Cedar,Missouri,474.48
1530,Chariton,Missouri,751.18
1531,Christian,Missouri,562.65
1532,Clark,Missouri,504.69
1533,Clay,Missouri,397.3
1534,Clinton,Missouri,418.96
1535,Cole,Missouri,393.75
1536,Cooper,Missouri,564.77
1537,Crawford,Missouri,742.52
1538,Dade,Missouri,490.01
1539,Dallas,Missouri,540.77
1540,Daviess,Missouri,563.24
1541,DeKalb,Missouri,421.36
1542,Dent,Missouri,752.79
1543,Douglas,Missouri,813.63
1544,Dunklin,Missouri,541.07
1545,Franklin,Missouri,922.68
1546,Gasconade,Missouri,517.8
1547,Gentry,Missouri,491.42
1548,Greene,Missouri,675.3
1549,Grundy,Missouri,435.28
1550,Harrison,Missouri,722.5
1551,Henry,Missouri,696.95
1552,Hickory,Missouri,399.09
1553,Holt,Missouri,462.69
1554,Howard,Missouri,463.85
1555,Howell,Missouri,927.25
1556,Iron,Missouri,550.26
1557,Jackson,Missouri,604.46
1558,Jasper,Missouri,638.49
1559,Jefferson,Missouri,656.63
1560,Johnson,Missouri,829.28
1561,Knox,Missouri,504.01
1562,Laclede,Missouri,764.72
1563,Lafayette,Missouri,628.43
1564,Lawrence,Missouri,611.74
1565,Lewis,Missouri,505.04
1566,Lincoln,Missouri,626.56
1567,Linn,Missouri,615.56
1568,Livingston,Missouri,532.33
1569,McDonald,Missouri,539.48
1570,Macon,Missouri,801.23
1571,Madison,Missouri,494.39
1572,Maries,Missouri,526.98
1573,Marion,Missouri,436.92
1574,Mercer,Missouri,453.84
1575,Miller,Missouri,592.6
1576,Mississippi,Missouri,411.58
1577,Moniteau,Missouri,415.03
1578,Monroe,Missouri,647.65
1579,Montgomery,Missouri,536.25
1580,Morgan,Missouri,597.63
1581,New Madrid,Missouri,674.84
1582,Newton,Missouri,624.77
1583,Nodaway,Missouri,876.96
1584,Oregon,Missouri,789.8
1585,Osage,Missouri,604.35
1586,Ozark,Missouri,744.97
1587,Pemiscot,Missouri,492.54
1588,Perry,Missouri,474.35
1589,Pettis,Missouri,682.22
1590,Phelps,Missouri,671.78
1591,Pike,Missouri,670.44
1592,Platte,Missouri,420.19
1593,Polk,Missouri,635.52
1594,Pulaski,Missouri,547.1
1595,Putnam,Missouri,517.32
1596,Ralls,Missouri,469.78
1597,Randolph,Missouri,482.68
1598,Ray,Missouri,568.81
1599,Reynolds,Missouri,808.48
1600,Ripley,Missouri,629.54
1601,St. Charles,Missouri,560.44
1602,St. Clair,Missouri,669.98
1603,Ste. Genevieve,Missouri,499.15
1604,St. Francois,Missouri,451.89
1605,St. Louis,Missouri,507.8
1606,Saline,Missouri,755.5
1607,Schuyler,Missouri,307.3
1608,Scotland,Missouri,436.67
1609,Scott,Missouri,419.99
1610,Shannon,Missouri,1003.82
1611,Shelby,Missouri,500.86
1612,Stoddard,Missouri,823.22
1613,Stone,Missouri,464.03
1614,Sullivan,Missouri,647.98
1615,Taney,Missouri,632.44
1616,Texas,Missouri,1177.27
1617,Vernon,Missouri,826.4
1618,Warren,Missouri,428.6
1619,Washington,Missouri,759.91
1620,Wayne,Missouri,759.18
1621,Webster,Missouri,592.56
1622,Worth,Missouri,266.61
1623,Wright,Missouri,681.77
1624,St. Louis city,Missouri,61.91
1625,MONTANA,,145545.8
1626,Beaverhead,Montana,5541.62
1627,Big Horn,Montana,4995.46
1628,Blaine,Montana,4227.55
1629,Broadwater,Montana,1192.54
1630,Carbon,Montana,2048.79
1631,Carter,Montana,3340.75
1632,Cascade,Montana,2698.16
1633,Chouteau,Montana,3972.49
1634,Custer,Montana,3783.36
1635,Daniels,Montana,1426.11
1636,Dawson,Montana,2371.87
1637,Deer Lodge,Montana,736.53
1638,Fallon,Montana,1620.77
1639,Fergus,Montana,4339.8
1640,Flathead,Montana,5087.66
1641,Gallatin,Montana,2602.69
1642,Garfield,Montana,4675.36
1643,Glacier,Montana,2995.94
1644,Golden Valley,Montana,1175.34
1645,Granite,Montana,1727.42
1646,Hill,Montana,2898.96
1647,Jefferson,Montana,1656.26
1648,Judith Basin,Montana,1869.82
1649,Lake,Montana,1490.15
1650,Lewis and Clark,Montana,3458.83
1651,Liberty,Montana,1430.05
1652,Lincoln,Montana,3612.92
1653,McCone,Montana,2643.17
1654,Madison,Montana,3587.48
1655,Meagher,Montana,2391.91
1656,Mineral,Montana,1219.44
1657,Missoula,Montana,2593.42
1658,Musselshell,Montana,1868.16
